;0.0015,0.0027,0.0026,0.0012,0.1228,0.0013,0.0013,0.0035,0.0012,0.0014,0.0025,0.0059,0.0028,0.0013,0.0050,0.0014,0.0055,0.0026
凸轮轴;0.0015,0.0033,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
男高音;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0038
嗜睡;0.0050,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
挺;0.0142,0.0128,0.0077,0.0470,0.0271,0.0262,0.0127,0.0150,0.0114,0.0198,0.0152,0.0150,0.0155,0.0312,0.0050,0.0150,0.0055,0.0234
清兵;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0047,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
海报;0.0028,0.0013,0.0078,0.0397,0.0046,0.0034,0.0013,0.0014,0.0051,0.0047,0.0088,0.0030,0.0014,0.0278,0.0023,0.0075,0.0032,0.0038
real;0.0015,0.0013,0.0026,0.0024,0.0046,0.0056,0.0013,0.0014,0.0012,0.0014,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0026
挣;0.0028,0.0034,0.0026,0.0041,0.0046,0.0026,0.0174,0.0014,0.0024,0.0028,0.0025,0.0030,0.0132,0.0032,0.0023,0.0089,0.0039,0.0038
挡;0.0015,0.1364,0.0052,0.0107,0.0136,0.0092,0.0044,0.0047,0.0126,0.0047,0.0142,0.0030,0.0119,0.0109,0.0098,0.0061,0.0071,0.0082
自言自语;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
总领馆;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0152
挫;0.0015,0.0057,0.0026,0.0012,0.0090,0.0013,0.0116,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0026,0.0023,0.0014,0.0016,0.0056
添加;0.0357,0.0027,0.0026,0.0012,0.0046,0.0034,0.0026,0.0136,0.0051,0.0014,0.0025,0.0030,0.0043,0.0013,0.0023,0.0110,0.0016,0.0013
伤势;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0043,0.0090,0.0023,0.0014,0.0016,0.0013
Z300;0.0015,0.0033,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
事故;0.0028,0.0312,0.0052,0.0036,0.0090,0.0013,0.0026,0.0014,0.0051,0.0035,0.0130,0.0030,0.1170,0.0042,0.0072,0.0061,0.0032,0.0353
振;0.0015,0.0044,0.0052,0.0024,0.0090,0.0013,0.0139,0.0014,0.0012,0.0028,0.0025,0.0030,0.0014,0.0013,0.0023,0.0028,0.0016,0.0026
挑;0.0154,0.0128,0.0026,0.0163,0.0136,0.0412,0.0044,0.0211,0.0357,0.0122,0.0152,0.0059,0.0167,0.0190,0.0098,0.0061,0.0040,0.0095
海拔;0.0015,0.0027,0.0077,0.0012,0.0046,0.0026,0.0013,0.0028,0.0012,0.0014,0.0041,0.0030,0.0014,0.0026,0.0023,0.0028,0.0213,0.0013
效率;0.0028,0.0027,0.0366,0.0012,0.0046,0.0013,0.0044,0.0014,0.0063,0.0014,0.0025,0.0059,0.0043,0.0055,0.0023,0.0284,0.0016,0.0026
莱万;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0033,0.0023,0.0014,0.0016,0.0013
挖;0.0078,0.0071,0.0210,0.0087,0.0090,0.0034,0.0115,0.0222,0.0188,0.0767,0.0130,0.0385,0.0677,0.0490,0.0859,0.0122,0.0239,0.0306
争斗;0.0015,0.0027,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0028,0.0012,0.0030,0.0028,0.0013,0.0072,0.0028,0.0016,0.0013
会合;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0041,0.0030,0.0014,0.0026,0.0023,0.0014,0.0016,0.0013
清军;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0149,0.0041,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
在位;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0075,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0013
挞;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0061,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0014,0.0016,0.0026
传单;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0035,0.0016,0.0044
昆山;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0023,0.0028,0.0055,0.0013
持;0.0028,0.0057,0.0026,0.0075,0.0090,0.0056,0.1602,0.0028,0.0085,0.0035,0.0065,0.0030,0.0364,0.0042,0.0098,0.0185,0.0071,0.0118
挂;0.0078,0.0416,0.0105,0.0191,0.0136,0.0183,0.0104,0.0088,0.0554,0.0161,0.0228,0.0088,0.0221,0.0146,0.0148,0.0111,0.0355,0.0130
无意;0.0101,0.0033,0.0052,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0061,0.0032,0.0030,0.0105,0.0100,0.0197,0.0028,0.0055,0.0139
指;0.0243,0.0115,0.0106,0.0173,0.0182,0.0043,0.0789,0.0047,0.0075,0.0184,0.0142,0.0088,0.0222,0.0211,0.0172,0.0236,0.0040,0.0283
锦囊;0.0050,0.0013,0.0026,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0012,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
主演;0.0015,0.0013,0.0026,0.0364,0.0046,0.0013,0.0013,0.0014,0.0039,0.0028,0.0012,0.0059,0.0014,0.0026,0.0023,0.0014,0.0016,0.0013
挎;0.0015,0.0013,0.0026,0.0012,0.0046,0.0026,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
惊;0.0346,0.0300,0.0864,0.1082,0.0046,0.0699,0.0407,0.0221,0.0418,0.0433,0.0314,0.0150,0.0558,0.0545,0.0514,0.0395,0.1300,0.0447
伏天;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0035,0.0012,0.0014,0.0012,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
时尚;0.0091,0.0499,0.0026,0.0471,0.0046,0.8679,0.0057,0.0098,0.0024,0.0047,0.0025,0.0030,0.0119,0.0080,0.0023,0.0109,0.0100,0.0140
若尔盖;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0099,0.0013
自行;0.0050,0.0033,0.0077,0.0012,0.0046,0.0013,0.0026,0.0014,0.0012,0.0014,0.0216,0.0088,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
五倍子;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0059,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
带来;0.0128,0.0115,0.0498,0.0036,0.0136,0.0242,0.0255,0.0110,0.0136,0.0088,0.0107,0.0150,0.0063,0.0178,0.0099,0.0323,0.0099,0.0200
广岛;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0075,0.0118,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0258
情;0.0230,0.0102,0.0026,0.1051,0.4314,0.0160,0.0070,0.0123,0.0178,0.0678,0.0142,0.0150,0.0428,0.0357,0.0561,0.0136,0.0439,0.0283
核试验;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0078,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0188
交易;0.0015,0.0027,0.0053,0.0040,0.0090,0.0013,0.1091,0.0014,0.0103,0.0035,0.0078,0.0030,0.0119,0.0579,0.0122,0.0284,0.0055,0.0118
惘;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
日常;0.0206,0.0071,0.0052,0.0108,0.0136,0.0310,0.0035,0.0518,0.0188,0.0136,0.0163,0.0386,0.0090,0.0042,0.0023,0.0089,0.0157,0.0200
子弟兵;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0088,0.0030,0.0043,0.0013,0.0023,0.0014,0.0016,0.0013
惜;0.0028,0.0013,0.0026,0.0036,0.0229,0.0026,0.0013,0.0014,0.0031,0.0100,0.0012,0.0030,0.0028,0.0067,0.0023,0.0014,0.0016,0.0026
涿州;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0062,0.0013,0.0023,0.0014,0.0016,0.0013
惑;0.0028,0.0044,0.0132,0.0138,0.0182,0.0138,0.0026,0.0028,0.0031,0.0014,0.0025,0.0030,0.0051,0.0026,0.0023,0.0014,0.0039,0.0026
殊不知;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0035,0.0025,0.0030,0.0014,0.0013,0.0072,0.0014,0.0016,0.0013
领奖台;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0055,0.0023,0.0014,0.0016,0.0013
惩;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0028,0.0013,0.0098,0.0014,0.0016,0.0026
淡妆;0.0015,0.0013,0.0026,0.0036,0.0046,0.0083,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
荒岛;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0025,0.0030,0.0014,0.0013,0.0073,0.0014,0.0016,0.0026
惨;0.0155,0.0162,0.0026,0.0589,0.0090,0.0182,0.0163,0.0088,0.0271,0.1000,0.0163,0.0059,0.0221,0.0267,0.0148,0.0109,0.0156,0.0107
明夏;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0055,0.0023,0.0014,0.0016,0.0013
丧生;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0025,0.0030,0.0043,0.0013,0.0050,0.0014,0.0032,0.0176
无度;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0047,0.0012,0.0030,0.0014,0.0013,0.0050,0.0014,0.0016,0.0013
主犯;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0036,0.0012,0.0030,0.0076,0.0013,0.0023,0.0014,0.0016,0.0013
惠;0.0015,0.0115,0.0026,0.0040,0.0046,0.0043,0.0045,0.0028,0.0094,0.0014,0.0025,0.0030,0.0051,0.0042,0.0023,0.0035,0.0071,0.0717
流泪;0.0091,0.0033,0.0026,0.0087,0.0544,0.0013,0.0013,0.0075,0.0031,0.0109,0.0041,0.0030,0.0076,0.0090,0.0122,0.0028,0.0032,0.0038
渐变;0.0015,0.0013,0.0026,0.0012,0.0046,0.0034,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0028,0.0016,0.0013
惧;0.0028,0.0027,0.0052,0.0051,0.0090,0.0056,0.0044,0.0014,0.0051,0.0061,0.0163,0.0059,0.0014,0.0135,0.0023,0.0028,0.0032,0.0069
一秒;0.0050,0.0033,0.0077,0.0087,0.0046,0.0114,0.0013,0.0035,0.0188,0.0014,0.0053,0.0059,0.0043,0.0055,0.0023,0.0048,0.0055,0.0044
惹;0.0307,0.0057,0.0131,0.0428,0.0182,0.0172,0.0082,0.0088,0.0146,0.0210,0.0183,0.0357,0.0338,0.0245,0.0515,0.0123,0.0111,0.0176
明天;0.0028,0.0027,0.0052,0.0024,0.0452,0.0083,0.0290,0.0075,0.0012,0.0028,0.0041,0.0120,0.0076,0.0042,0.0023,0.0028,0.0071,0.0026
廖凡;0.0015,0.0013,0.0026,0.0036,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
想;0.4090,0.1767,0.0786,0.1907,0.5492,0.2302,0.1078,0.2959,0.1183,0.1717,0.1981,0.1601,0.1625,0.1947,0.1495,0.2216,0.2561,0.1245
海景;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0111,0.0026
乳母;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0047,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
悍;0.0015,0.0220,0.0026,0.0036,0.0046,0.0013,0.0013,0.0014,0.0051,0.0088,0.0107,0.0030,0.0043,0.0042,0.0050,0.0028,0.0039,0.0038
传回;0.0015,0.0013,0.0184,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0032,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
庄家;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0232,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0026,0.0023,0.0014,0.0016,0.0026
堪称一绝;0.0015,0.0013,0.0026,0.0024,0.0046,0.0026,0.0013,0.0047,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
星团;0.0015,0.0013,0.0159,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
公安局长;0.0015,0.0013,0.0026,0.0051,0.0046,0.0013,0.0013,0.0014,0.0012,0.0028,0.0012,0.0030,0.0182,0.0013,0.0023,0.0014,0.0016,0.0026
喇荣;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0039,0.0013
旺季;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0070,0.0014,0.0024,0.0014,0.0012,0.0030,0.0043,0.0013,0.0023,0.0028,0.0032,0.0013
巴洛;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0032,0.0023,0.0014,0.0016,0.0013
悟;0.0015,0.0013,0.0078,0.0063,0.1184,0.0013,0.0026,0.0028,0.0063,0.0014,0.0012,0.0030,0.0028,0.0032,0.0023,0.0036,0.0055,0.0013
钟汉良;0.0015,0.0013,0.0026,0.0257,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
悚;0.0050,0.0027,0.0105,0.0107,0.0090,0.0026,0.0026,0.0047,0.0039,0.0088,0.0032,0.0030,0.0105,0.0013,0.0194,0.0014,0.0111,0.0038
哭闹;0.0600,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0043,0.0013,0.0050,0.0014,0.0016,0.0026
游人;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0156,0.0013
荷塘;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0028,0.0012,0.0014,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0055,0.0013
患;0.0447,0.0013,0.0052,0.0247,0.0046,0.0034,0.0026,0.0047,0.0039,0.0088,0.0041,0.1513,0.0415,0.0067,0.0122,0.0028,0.0016,0.0306
苹果;0.0078,0.0057,0.0077,0.0109,0.0046,0.0092,0.0265,0.0344,0.0178,0.0028,0.0053,0.0413,0.0195,0.0013,0.0073,0.6976,0.0071,0.0283
量子论;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
VOGUE;0.0015,0.0013,0.0026,0.0012,0.0046,0.0034,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
悲;0.0050,0.0057,0.0052,0.0099,0.0182,0.0013,0.0013,0.0014,0.0039,0.0333,0.0053,0.0059,0.0167,0.0135,0.0072,0.0028,0.0016,0.0056
培养皿;0.0015,0.0013,0.0052,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
恃;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
病例;0.0028,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0089,0.0028,0.0013,0.0023,0.0014,0.0016,0.0038
恋;0.0065,0.0033,0.0026,0.0814,0.0364,0.0182,0.0026,0.0035,0.0137,0.0149,0.0216,0.0030,0.0209,0.0109,0.0539,0.0089,0.0127,0.0107
深圳;0.0036,0.0209,0.0026,0.0063,0.0046,0.0056,0.0546,0.0136,0.0012,0.0047,0.0053,0.0030,0.0494,0.0055,0.0072,0.0457,0.0710,0.0026
张小宇;0.0015,0.0013,0.0026,0.0036,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
活活;0.0065,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0024,0.0259,0.0025,0.0030,0.0014,0.0013,0.0415,0.0014,0.0016,0.0057
不知;0.0115,0.0092,0.0078,0.0107,0.0271,0.0160,0.0057,0.0061,0.0075,0.0210,0.0088,0.0207,0.0195,0.0080,0.0610,0.0047,0.0099,0.0013
恒;0.0015,0.0013,0.0052,0.0024,0.0046,0.0013,0.0370,0.0014,0.0024,0.0014,0.0012,0.0030,0.0028,0.0042,0.0023,0.0028,0.0032,0.0013
幽居;0.0015,0.0013,0.0026,0.0012,0.0090,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
恐;0.0065,0.0027,0.0260,0.0107,0.0090,0.0013,0.0175,0.0014,0.0167,0.0047,0.0313,0.0089,0.0105,0.0722,0.0123,0.0089,0.0099,0.1152
流沙;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0051,0.0013,0.0023,0.0014,0.0016,0.0013
水货;0.0015,0.0027,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0135,0.0023,0.0028,0.0016,0.0013
恤;0.0015,0.0013,0.0026,0.0012,0.0046,0.0367,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0043,0.0026,0.0023,0.0047,0.0016,0.0013
郑佩佩;0.0015,0.0013,0.0026,0.0036,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
恨;0.0115,0.0027,0.0026,0.0138,0.0453,0.0194,0.0035,0.0014,0.0075,0.0394,0.0118,0.0030,0.0076,0.0122,0.0122,0.0075,0.0039,0.0107
恩;0.0065,0.0057,0.0026,0.0063,0.0136,0.0026,0.0026,0.0014,0.0198,0.0109,0.0012,0.0059,0.0051,0.0055,0.0148,0.0014,0.0032,0.0044
巡演;0.0015,0.0013,0.0026,0.0203,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
作伴;0.0028,0.0013,0.0026,0.0012,0.0136,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0028,0.0013,0.0073,0.0014,0.0016,0.0013
恭;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0012,0.0109,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
息;0.0015,0.0027,0.0026,0.0040,0.0046,0.0013,0.0894,0.0014,0.0039,0.0014,0.0025,0.0059,0.0028,0.0013,0.0023,0.0014,0.0016,0.0038
无常;0.0015,0.0013,0.0026,0.0036,0.0182,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0074,0.0014,0.0016,0.0013
晕倒;0.0078,0.0013,0.0026,0.0040,0.0090,0.0013,0.0013,0.0028,0.0012,0.0028,0.0032,0.0059,0.0043,0.0026,0.0148,0.0014,0.0016,0.0026
银子;0.0015,0.0027,0.0026,0.0012,0.0046,0.0026,0.0013,0.0035,0.0012,0.0136,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
恶;0.0141,0.0044,0.0026,0.0138,0.0046,0.0043,0.0044,0.0047,0.0231,0.0185,0.0065,0.0059,0.0155,0.0146,0.0439,0.0035,0.0032,0.0082
诗意;0.0015,0.0013,0.0026,0.0012,0.0090,0.0034,0.0013,0.0028,0.0012,0.0014,0.0012,0.0030,0.0028,0.0026,0.0023,0.0014,0.0170,0.0013
疆土;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0061,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0032,0.0013
甲铁城;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0039,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
改版;0.0015,0.0033,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0302,0.0014,0.0025,0.0030,0.0014,0.0013,0.0023,0.0099,0.0016,0.0013
怂;0.0050,0.0013,0.0026,0.0063,0.0136,0.0013,0.0026,0.0035,0.0126,0.0075,0.0041,0.0030,0.0052,0.0067,0.0023,0.0047,0.0032,0.0026
怀;0.2341,0.0013,0.0026,0.0181,0.0227,0.0043,0.0035,0.0035,0.0031,0.0088,0.0032,0.0150,0.0119,0.0033,0.0366,0.0028,0.0055,0.0056
菲律宾;0.0015,0.0027,0.0026,0.0024,0.0046,0.0026,0.0044,0.0047,0.0031,0.0075,0.0422,0.0030,0.0028,0.0042,0.0023,0.0014,0.0111,0.1178
态;0.0028,0.0013,0.0262,0.0051,0.0090,0.0034,0.0013,0.0014,0.0012,0.0061,0.0012,0.0030,0.0028,0.0032,0.0050,0.0035,0.0055,0.0069
活泼;0.0050,0.0013,0.0026,0.0036,0.0046,0.0083,0.0013,0.0014,0.0012,0.0028,0.0025,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
通古斯;0.0015,0.0013,0.0078,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
怖;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0035,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
诚意;0.0015,0.0027,0.0026,0.0040,0.0046,0.0013,0.0013,0.0028,0.0024,0.0014,0.0012,0.0030,0.0014,0.0026,0.0023,0.0075,0.0016,0.0026
怒;0.0101,0.0289,0.0052,0.0493,0.0136,0.0026,0.0095,0.0110,0.0388,0.0285,0.0183,0.0059,0.0415,0.0346,0.0343,0.0198,0.0039,0.0129
特种兵;0.0015,0.0044,0.0026,0.0036,0.0046,0.0013,0.0013,0.0028,0.0012,0.0028,0.0876,0.0030,0.0051,0.0042,0.3408,0.0028,0.0016,0.0026
思;0.0050,0.0646,0.0077,0.0126,0.0363,0.0056,0.0070,0.0098,0.0137,0.0149,0.0025,0.0150,0.0132,0.0055,0.0073,0.0136,0.0112,0.0044
书法;0.0015,0.0013,0.0026,0.0041,0.0316,0.0013,0.0013,0.0014,0.0012,0.0185,0.0041,0.0030,0.0028,0.0013,0.0023,0.0028,0.0016,0.0013
WR847N;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0035,0.0016,0.0013
鲜美;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0013,0.0765,0.0012,0.0028,0.0012,0.0030,0.0014,0.0013,0.0023,0.0028,0.0039,0.0013
急;0.0333,0.0242,0.0077,0.0051,0.0090,0.0069,0.0221,0.0035,0.0075,0.0061,0.0369,0.0326,0.0404,0.0155,0.0072,0.0150,0.0126,0.0152
性;0.0628,0.1560,0.0235,0.0407,0.0271,0.0857,0.0428,0.0184,0.0366,0.0322,0.0163,0.1718,0.0428,0.0155,0.0220,0.0346,0.0310,0.0881
怠;0.0015,0.0044,0.0026,0.0012,0.0046,0.0013,0.0013,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0014,0.0016,0.0013
怡;0.0015,0.0013,0.0026,0.0075,0.0046,0.0026,0.0026,0.0028,0.0242,0.0014,0.0025,0.0030,0.0028,0.0013,0.0023,0.0014,0.0032,0.0026
地位;0.0015,0.0128,0.0053,0.0116,0.0046,0.0026,0.0164,0.0075,0.0012,0.0297,0.0107,0.0030,0.0051,0.0166,0.0023,0.0174,0.0039,0.0258
作价;0.0015,0.0013,0.0026,0.0012,0.0046,0.0013,0.0035,0.0014,0.0012,0.0014,0.0012,0.0030,0.0014,0.0013,0.0023,0.0028,0.0016,0.0013
场下;0.0015,0.0013,0.0026,0.0024,0.0046,0.0013,0.0013,0.0014,0.0024,0.0014,0.0012,0.0030,0.0014,0.0055,0.0023,0.0014,0.0016,0.0013
场上;0.0015,0.0013,0.0026,0.0012,0.0046,0.0043,0.0026,0.0014,0.0024,0.0028,0.0053,0.0030,0.0043,0.0122,0.0050,0.0014,0.0016,0.0013
怨;0.0036,0.0027,0.0026,0.0024,0.0227,0.0034,0.0035,0.0014,0.0031,0.0036,0.0025,0.0030,0.0076,0.0033,0.0244,0.0014,0.0016,0.0013
用户;0.0015,0.0071,0.0026,0.0012,0.0046,0.0013,0.0095,0.0014,0.0094,0.0014,0.0032,0.0030,0.0052,0.0013,0.0023,0.2738,0.0016,0.0038
回头;0.0028,0.0197,0.0026,0.0051,0.0319,0.0320,0.0035,0.0028,0.0051,0.0014,0.0032,0.0030,0.0051,0.0055,0.0122,0.0047,0.0039,0.0026
